wp_id,url,slug,title,html_title,meta_description,published_at,published_at_gmt,updated_at,updated_at_gmt,categories,category_slugs,tags,featured_image,body_images,internal_links,canonical,og_title,og_description,og_image,twitter_card,schema_types
219,https://calmapercorso.com/job-income-history/,job-income-history,【#19】 初めての転職が年収510万からの288万円へ。14回転職したジョブホッパーの全収入を晒します,初めての転職が年収510万からの288万円へ。14回転職したジョブホッパーの全収入を晒します,9年勤めた会社を辞めて、結果14回の転職しました。初めての転職では年収510万から288万への転落。軽貨物（宅配）とホワイトカラーを往復（手取り20万円台）。タクシーで年収580万。17年分の収入推移と失敗のすべての記録,2026-05-03T14:20:16,2026-05-03T05:20:16Z,2026-05-03T14:20:17,2026-05-03T05:20:17Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/05/転職14回、全収入推移。-1.png,"[""https://calmapercorso.com/wp-content/uploads/2026/05/image.png""]",[],https://calmapercorso.com/job-income-history/,【#19】 初めての転職が年収510万からの288万円へ。14回転職したジョブホッパーの全収入を晒します,目次1 【一覧表】17年間・14社分の年収推移グラフ2 【1社目】年収510万。9年勤めたブ◯ック企業を「辞めてもいい」と気づいた日3 【2社目】年収が4割減に。初転職の焦りが招いた致命的な計算ミス3,https://calmapercorso.com/wp-content/uploads/2026/05/転職14回、全収入推移。-1.png,,"[""BreadcrumbList"", ""ListItem""]"
215,https://calmapercorso.com/job-change-construction/,job-change-construction,【#18】地方移住×転職14回目。未経験で建設の世界に飛び込んだ理由,転職14回目で土木を選んだ。未経験から手に職を目指した理由,転職13回を経て、40代で未経験の土木・建設業を選んだ理由を振り返る。営業と建設の仕事の違い、積極的に動けない自分の性質、役割がないとふわふわする話など、地方転職のリアルを書きました。,2026-04-12T15:11:08,2026-04-12T06:11:08Z,2026-04-12T15:11:10,2026-04-12T06:11:10Z,"[""移　住"", ""転　職""]","[""relocation"", ""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/04/タクシードライバーのリアルな1日-3.png,[],[],https://calmapercorso.com/job-change-construction/,【#18】地方移住×転職14回目。未経験で建設の世界に飛び込んだ理由,目次1 これまでの仕事に足りなかったもの2 縁のはじまり、スマウトからのスカウト2.1 場所2.2 環境2.3 ある日のスカウト3 断る理由が見つからなかった4 営業と建設、仕事の存在感が全然違う4.,https://calmapercorso.com/wp-content/uploads/2026/04/タクシードライバーのリアルな1日-3.png,,"[""BreadcrumbList"", ""ListItem""]"
201,https://calmapercorso.com/tokyo-taxi-driver-quit-reason/,tokyo-taxi-driver-quit-reason,【#17】稼げていたのに辞めた。タクシードライバーを1年で終わりにした理由,稼げていたのに辞めた。東京タクシードライバーを1年で終わりにした理由,年収600万円程度の稼ぎを得ながら、1年持たずにタクシードライバーを辞めた。腰の痛み・偏った食事という体への負担、客からのメンタルへの負荷、稼げるのはわかったが続けられなかった理由をリアルに振り返る。,2026-04-05T01:11:30,2026-04-04T16:11:30Z,2026-04-05T01:11:30,2026-04-04T16:11:30Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/04/元タクシードライバーの㊙️営業術-4.png,"[""https://calmapercorso.com/wp-content/uploads/2026/01/見出しを追加-23-150x150.png""]","[""https://calmapercorso.com/bankruptcy-cancellation/""]",https://calmapercorso.com/tokyo-taxi-driver-quit-reason/,【#17】稼げていたのに辞めた。タクシードライバーを1年で終わりにした理由,目次1 体への影響1.1 一日の労働時間1.2 コンビニ飯と3キロ増加1.3 座りっぱなしという弊害2 メンタルへの影響2.1 対・お客への蓄積2.2 対・自分自身への蓄積2.3 感情を切り離して働く,https://calmapercorso.com/wp-content/uploads/2026/04/元タクシードライバーの㊙️営業術-4.png,,"[""BreadcrumbList"", ""ListItem""]"
192,https://calmapercorso.com/tokyo-taxi-oneday-record/,tokyo-taxi-oneday-record,【#16】ゆるく働いても稼げる？東京タクシードライバーのリアルな1日を完全公開,休憩4時間、やる気なし。それでも東京タクシーで7万円稼いだ1日の記録,休憩4時間、やる気もそこそこ。それでも1日6〜7万円の売上を確保できた日の動きをそのまま書きました。バリバリ稼ぎたい人には参考にならないけど、タクシー転職を迷ってる人には刺さるかもしれない現実の記録です。,2026-04-01T00:28:11,2026-03-31T15:28:11Z,2026-04-01T00:28:11,2026-03-31T15:28:11Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/03/タクシードライバーのリアルな1日-2.png,[],[],https://calmapercorso.com/tokyo-taxi-oneday-record/,【#16】ゆるく働いても稼げる？東京タクシードライバーのリアルな1日を完全公開,目次1 朝イチからトイレ回送。僕のルーチン2 都心を目指して、まずは上野へ3 コンビニ休憩で帰りたくなる問題4 1日の半分が終わり、焦りだす5 会社員が動き出す時間に便乗する5.1 思い出したくないエ,https://calmapercorso.com/wp-content/uploads/2026/03/タクシードライバーのリアルな1日-2.png,,"[""BreadcrumbList"", ""ListItem""]"
169,https://calmapercorso.com/taxi-eigyo-style/,taxi-eigyo-style,【#15】流し？付け待ち？アプリ？元タクシードライバーの営業術,流し？付け待ち？アプリ？元タクシードライバーの営業術,"流し・付け待ち・アプリ配車、タクシードライバーの営業スタイルは人それぞれ。
元ドライバーが3つのスタイルの使い分け・稼ぎやすいエリア・
やる気のない日の裏技まで正直に語ります。転職検討中の方の参考に。",2026-03-28T17:14:39,2026-03-28T08:14:39Z,2026-03-31T15:15:46,2026-03-31T06:15:46Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/03/元タクシードライバーの㊙️営業術-1.png,[],[],https://calmapercorso.com/taxi-eigyo-style/,【#15】流し？付け待ち？アプリ？元タクシードライバーの営業術,目次1 流し営業のコツと本音2 付け待ち営業とエリア選び2.1 上野駅2.2 東京駅（八重洲口）3 アプリ配車4 ヤル気のない時 タクシードライバーは営業スタイルにはかなり個性が出ます ・流しのみの人,https://calmapercorso.com/wp-content/uploads/2026/03/元タクシードライバーの㊙️営業術-1.png,,"[""BreadcrumbList"", ""ListItem""]"
161,https://calmapercorso.com/tokyo-taxi-nenshu-real/,tokyo-taxi-nenshu-real,【#14】東京のタクシードライバーは稼げる？新人で年収600万円の体験談,東京タクシーは稼げる？新人で年収600万の体験談,東京のタクシードライバーは本当に稼げるのか？新人1年生で年収550〜600万円を経験した元ドライバーが、ヤル気はないがある程度の額を稼ぐための戦略・運の要素・深夜のエピソードをリアルに語ります。,2026-03-20T18:57:54,2026-03-20T09:57:54Z,2026-04-04T17:09:22,2026-04-04T08:09:22Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/03/元タクシードライバーの㊙️営業術-2.png,[],[],https://calmapercorso.com/tokyo-taxi-nenshu-real/,【#14】東京のタクシードライバーは稼げる？新人で年収600万円の体験談,目次1 タクシーは運ゲーでもある1.1 ロング vs ワンメーター1.2 深夜の銀座1.3 雨の日は稼げる？2 稼ぐための戦略2.1 終電後の世界2.2 車の方向を意識する2.3 稼ぎ方3 エピソード,https://calmapercorso.com/wp-content/uploads/2026/03/元タクシードライバーの㊙️営業術-2.png,,"[""BreadcrumbList"", ""ListItem""]"
153,https://calmapercorso.com/taxi-buai-shikumi/,taxi-buai-shikumi,【#13】タクシードライバーの歩合給、正直60%って多い？少ない？,タクシードライバーの歩合給60%のリアル｜元ドライバーが計算方法を解説,"東京でタクシードライバーをしていた実体験から、歩合制60%の計算方法と残り40%の経費内訳・実際の手取り額をリアルに解説します。
売上管理スプレッドシートの画像も公開。転職前に知っておきたい収入事情。",2026-03-15T15:06:08,2026-03-15T06:06:08Z,2026-03-31T15:15:28,2026-03-31T06:15:28Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/03/見出しを追加-30.png,"[""https://calmapercorso.com/wp-content/uploads/2026/03/想定70000円-1-1024x821.png"", ""https://calmapercorso.com/wp-content/uploads/2026/03/想定60000円.png""]",[],https://calmapercorso.com/taxi-buai-shikumi/,【#13】タクシードライバーの歩合給、正直60%って多い？少ない？,目次1 歩合の計算方法2 残りの40％は何に？2.1 ガス代は会社負担2.2 高速代2.3 車両維持費用2.4 その他3 売上がそのまま給料になる世界 タクシーと言えば歩合給 固定給の会社もあると思う,https://calmapercorso.com/wp-content/uploads/2026/03/見出しを追加-30.png,,"[""BreadcrumbList"", ""ListItem""]"
148,https://calmapercorso.com/tokyo-taxi-driver-first-month/,tokyo-taxi-driver-first-month,【#12】東京でタクシードライバーになるまでの1ヵ月半｜研修・免許・初月給料の現実,京タクシードライバーになるまでの1ヵ月半｜研修・免許・初月給料の現実をすべて話す,東京でタクシードライバーに転職した筆者が、研修・教習所・免許センターから独り立ちまでの1ヵ月半をリアルに振り返ります。初月手取り46万円に辿り着くまでの現実と、独り立ち3日目に心が折れかけた話など、転職前には知っておきたい本音を書きました。,2026-03-13T00:05:40,2026-03-12T15:05:40Z,2026-03-31T15:15:14,2026-03-31T06:15:14Z,"[""転　職""]","[""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/03/見出しを追加-29.png,[],[],https://calmapercorso.com/tokyo-taxi-driver-first-month/,【#12】東京でタクシードライバーになるまでの1ヵ月半｜研修・免許・初月給料の現実,目次1 研修期間1.1 東京無線の研修（5日間）1.2 タクシーセンターの研修（3日間）1.3 教習所（約1週間）1.4 免許センター（1日の予定）1.5 社内同乗研修（3日間）2 初乗務の日2.1,https://calmapercorso.com/wp-content/uploads/2026/03/見出しを追加-29.png,,"[""BreadcrumbList"", ""ListItem""]"
142,https://calmapercorso.com/taxi-driver-debt/,taxi-driver-debt,【#11】借金まみれでタクシーに乗り込んだ。そして1年後、東京を出た,借金200万で追い詰められた僕がタクシードライバーを選んだ理由｜多重債務者の実録,家賃も払えず、どこからも借りられなくなった状況で僕が選んだのがタクシードライバーという仕事でした。選択肢がなかったからこそ飛び込んだ東京のタクシー業界。借金200万を抱えた多重債務者が、なぜタクシーを選んだのかをリアルに書いています。,2026-02-28T12:35:49,2026-02-28T03:35:49Z,2026-03-31T15:15:03,2026-03-31T06:15:03Z,"[""借　金"", ""転　職""]","[""money"", ""career""]",[],https://calmapercorso.com/wp-content/uploads/2026/02/見出しを追加-28.png,[],[],https://calmapercorso.com/taxi-driver-debt/,【#11】借金まみれでタクシーに乗り込んだ。そして1年後、東京を出た,目次1 当時の借金状況2 なぜタクシーを選んだのか3 「自由に見えた仕事」4 想定していた収入5 当時の自分の心理 長野に来る前、僕は東京でタクシードライバーをしてました タクシードライバーになる直前,https://calmapercorso.com/wp-content/uploads/2026/02/見出しを追加-28.png,,"[""BreadcrumbList"", ""ListItem""]"
135,https://calmapercorso.com/nagano-iju-hansei/,nagano-iju-hansei,【#10】長野に移住したのは間違いだったのか！？,長野移住の反省録｜東京から移住して気づいた、変わらない自分の話,東京から長野に移住して初めての冬。借金返済に20年を費やし、ようやく動き出した40代の移住記録。白馬の変化、家賃問題、そして場所を変えても変わらない自分に気づくまで。,2026-02-20T10:43:23,2026-02-20T01:43:23Z,2026-03-31T15:14:51,2026-03-31T06:14:51Z,"[""移　住""]","[""relocation""]",[],https://calmapercorso.com/wp-content/uploads/2026/02/見出しを追加.png,[],[],https://calmapercorso.com/nagano-iju-hansei/,【#10】長野に移住したのは間違いだったのか！？,目次1 移住先の候補地はこう決めた2 本当は北海道に行きたかった3 20年の溝は深すぎた3.1 白馬が変わりすぎていた3.2 住む家がない3.3 みんな朝が早い3.4 ジムとカフェ4 まとめ 東京から,https://calmapercorso.com/wp-content/uploads/2026/02/見出しを追加.png,,"[""BreadcrumbList"", ""ListItem""]"
